harga,lokasi,luas_bangunan,luas_tanah,kamar,kamar_mandi,listrik,interior,parkir,sertifikat
"Rp 2,6 M",Sleman,250,193,4,3,2200,Tak Berperabot,3.0,SHM - Sertifikat Hak Milik
1600000000.0,Sleman,36,77,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1700000000.0,Sleman,36,75,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1800000000.0,Sleman,45,93,2,1,1300,Tak Berperabot,1.0,SHGB - Hak Guna Bangunan
1691000000.0,Sleman,60,90,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
300000000.0,Sleman,137,145,3,3,3500,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1450000000.0,Bantul,70,85,3,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1750000000.0,Bantul,45,93,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
2900000000.0,Bantul,60,86,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1590000000.0,Sleman,90,105,3,3,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1600000000.0,Bantul,55,78,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1325000000.0,Bantul,60,83,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
702250000.0,Bantul,60,83,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1975000000.0,Sleman,120,180,3,2,2200,Tak Berperabot,2.0,SHGB - Hak Guna Bangunan
1875000000.0,Sleman,180,205,7,3,1300,Sebagian,2.0,SHM - Sertifikat Hak Milik
5200000000.0,Sleman,72,90,2,1,2200,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
"Rp 1,5 M",Yogyakarta,200,115,6,2,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
1400000000.0,Bantul,50,98,2,1,1300,Tak Berperabot,1.0,SHM - Sertifikat Hak Milik
